Logging for SGP30
2024-05-01 07:11:19 Raw H2 11374 	Raw Ethanol 20394
2024-05-01 07:11:20 Raw H2 11377 	Raw Ethanol 20404
2024-05-01 07:11:22 Raw H2 11368 	Raw Ethanol 20392
2024-05-01 07:11:23 Raw H2 11380 	Raw Ethanol 20415
2024-05-01 07:11:24 Raw H2 11379 	Raw Ethanol 20421
2024-05-01 07:11:25 Raw H2 11374 	Raw Ethanol 20441
2024-05-01 07:11:26 Raw H2 11371 	Raw Ethanol 20354
2024-05-01 07:11:27 Raw H2 11376 	Raw Ethanol 20418
2024-05-01 07:11:28 Raw H2 11377 	Raw Ethanol 20430
2024-05-01 07:11:29 Raw H2 11388 	Raw Ethanol 20400
2024-05-01 07:11:30 Raw H2 11378 	Raw Ethanol 20366
2024-05-01 07:11:31 Raw H2 11372 	Raw Ethanol 20421
2024-05-01 07:11:32 Raw H2 11384 	Raw Ethanol 20400
2024-05-01 07:11:33 Raw H2 11387 	Raw Ethanol 20396
2024-05-01 07:11:34 Raw H2 11384 	Raw Ethanol 20441
2024-05-01 07:11:35 Raw H2 11386 	Raw Ethanol 20421
2024-05-01 07:11:36 Raw H2 11370 	Raw Ethanol 20387
2024-05-01 07:11:37 Raw H2 11373 	Raw Ethanol 20360
2024-05-01 07:11:38 Raw H2 11372 	Raw Ethanol 20416
2024-05-01 07:11:39 Raw H2 11379 	Raw Ethanol 20392
2024-05-01 07:11:40 Raw H2 11376 	Raw Ethanol 20408
2024-05-01 07:11:41 Raw H2 11379 	Raw Ethanol 20421
2024-05-01 07:11:43 Raw H2 11377 	Raw Ethanol 20419
2024-05-01 07:11:44 Raw H2 11372 	Raw Ethanol 20420
2024-05-01 07:11:45 Raw H2 11380 	Raw Ethanol 20435
2024-05-01 07:11:46 Raw H2 11379 	Raw Ethanol 20462
2024-05-01 07:11:47 Raw H2 11377 	Raw Ethanol 20402
2024-05-01 07:11:48 Raw H2 11383 	Raw Ethanol 20452
